Krajina,EPI_2020,zmena EPI_10 rokov,typ_krajiny,typ_dohody,Dohoda_0,Dohoda_1,Dohoda_2,Dohoda_3,ucinnost_dohody,dlzka_vykonavania,ZP,TSD,ohrozene_druhy,znizenie_emisii,tazba _dreva,waste_management,CE,obcianska_spolocnost,MIC,organy_pre_ZP,kontrola,vynutitelnosť,Obmedzenie_0,Obmedzenie_1,Obmedzenie_2,MEA,Bazilejský dohovor,Rotterdam,CITES,CBD,Kartagena,Nagojský protokol,Stockholm,Montrealský protokol,Kigalský dodatok,UNFCCC,Kjótsky protokol,Parížska dohoda,SKORE
Albánsko,49,10.2,0,0,1,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bosna a Hercegovina,45.4,10.9,0,0,1,0,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5
Srbsko,55.2,7,0,0,1,0,0,0,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6
Gruzínsko,41.3,-1.3,0,0,1,0,0,0,1,4,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,17
Moldavsko,44.4,-2.3,0,0,1,0,0,0,1,4,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,15
Ukrajina,49.5,0.7,0,0,1,0,0,0,1,4,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,13
Azerbajdžan,46.5,4,0,3,0,0,0,1,1,21,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
Kazachstan,44.7,9,0,3,0,0,0,1,0,4,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8
Turecko,42.6,2.1,0,3,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Švajčiarsko,81.5,8.6,1,1,0,1,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EEA,75,4,1,1,0,1,0,0,1,26,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
